state,votes
Alabama,27.73
Alaska,14.73
Arizona,3.55
Arkansas,26.92
California,-30.11
Colorado,-4.91
Connecticut,-13.64
Delaware,-11.43
District of Columbia,-86.41
Florida,1.2
Georgia,5.13
Hawaii,-31.54
Idaho,31.77
Illinois,-17.06
Indiana,19.17
Iowa,9.41
Kansas,20.6
Kentucky,29.84
Louisiana,19.64
Maine,-2.87
Maryland,-26.42
Massachusetts,-26.76
Michigan,0.22
Minnesota,-1.52
Mississippi,17.83
Missouri,18.64
Montana,20.53
Nebraska,25.05
Nevada,-2.42
New Hampshire,-0.37
New Jersey,-14.1
New Mexico,-8.21
New York,-23.75
North Carolina,3.66
North Dakota,35.73
Ohio,8.13
Oklahoma,36.39
Oregon,-10.98
Pennsylvania,0.72
Rhode Island,-15.51
South Carolina,14.27
South Dakota,29.79
Tennessee,26.01
Texas,9.0
Utah,18.08
Vermont,-25.96
Virginia,-5.32
Washington,-15.71
West Virginia,42.15
Wisconsin,0.76
Wyoming,45.77
