state,votes
Alabama,29.06
Alaska,8.15
Arizona,5.51
Arkansas,34.2
California,-34.74
Colorado,-12.21
Connecticut,-16.03
Delaware,-17.48
District of Columbia,-89.66
Florida,-0.55
Georgia,2.7
Hawaii,-47.26
Idaho,26.83
Illinois,-21.27
Indiana,11.91
Iowa,2.77
Kansas,19.47
Kentucky,30.42
Louisiana,23.52
Maine,-10.34
Maryland,-31.44
Massachusetts,-24.74
Michigan,-5.47
Minnesota,-3.74
Mississippi,14.0
Missouri,17.57
Montana,11.62
Nebraska,22.23
Nevada,-9.45
New Hampshire,-5.38
New Jersey,-16.25
New Mexico,-14.72
New York,-28.01
North Carolina,-2.48
North Dakota,26.34
Ohio,2.47
Oklahoma,40.27
Oregon,-17.51
Pennsylvania,-2.27
Rhode Island,-17.99
South Carolina,10.35
South Dakota,23.28
Tennessee,31.05
Texas,6.63
Utah,23.37
Vermont,-39.98
Virginia,-11.49
Washington,-20.49
West Virginia,45.91
Wisconsin,-5.47
Wyoming,43.0
