State,Trump Win %,In Trump Win %,In Biden Win %,Average Spread
AL,1.0,1.0,0.0,23.416
AK,0.986,1.0,0.015,6.181
AZ,0.409,0.67,0.618,-0.538
AR,0.999,1.0,0.001,10.649
CA,0.0,0.0,1.0,-27.98
CO,0.0,0.0,1.0,-14.301
CT,0.0,0.0,1.0,-15.355
DE,0.001,0.0,0.999,-13.245
DC,0.0,0.0,1.0,-86.654
FL,0.256,0.841,0.804,-1.559
GA,0.943,0.989,0.062,4.139
HI,0.0,0.0,1.0,-35.492
ID,1.0,1.0,0.0,31.91
IL,0.0,0.0,1.0,-16.764
IN,1.0,1.0,0.0,16.567
IA,1.0,1.0,0.0,6.323
KS,1.0,1.0,0.0,15.644
KY,1.0,1.0,0.0,22.796
LA,1.0,1.0,0.0,20.746
ME,0.006,0.0,0.993,-7.029
MD,0.0,0.0,1.0,-23.547
MA,0.0,0.0,1.0,-28.435
MI,0.17,0.534,0.866,-2.666
MN,0.008,0.0,0.991,-6.613
MS,1.0,1.0,0.0,17.126
MO,1.0,1.0,0.0,12.143
MT,1.0,1.0,0.0,11.683
NE,1.0,1.0,0.0,24.704
NV,0.043,0.08,0.96,-3.305
NH,0.607,0.705,0.4,0.485
NJ,0.0,0.0,1.0,-17.101
NM,0.0,0.0,1.0,-9.303
NY,0.0,0.0,1.0,-23.908
NC,0.554,0.875,0.478,0.367
ND,1.0,1.0,0.0,26.075
OH,0.951,0.977,0.052,3.568
OK,1.0,1.0,0.0,31.893
OR,0.0,0.0,1.0,-11.26
PA,0.26,0.659,0.779,-1.95
RI,0.0,0.0,1.0,-14.74
SC,0.999,1.0,0.001,10.947
SD,1.0,1.0,0.0,32.234
TN,1.0,1.0,0.0,19.133
TX,0.982,1.0,0.02,4.777
UT,1.0,1.0,0.0,13.521
VT,0.0,0.0,1.0,-26.918
VA,0.021,0.08,0.985,-7.409
WA,0.0,0.0,1.0,-20.515
WV,1.0,1.0,0.0,48.632
WI,0.468,0.602,0.546,-0.182
WY,1.0,1.0,0.0,48.052
0.088,0.004
